x,result
-1.000000,0.007394
-0.500000,15.778999
0,000000,undefined
0.500000,0.073056
1.000000,NaN
1.500000,0.034114
2.000000,0.106672
2.500000,0.195865
3.000000,0.292671
3.500000,0.392776
4.000000,0.493922
4.500000,0.594865
5.000000,0.694899
